visit_id,store_id,perturbation,R_base_baseline,R_base_perturbed,R_base_swing_pct,R_inv_baseline,R_inv_perturbed,R_inv_swing_pct,triangulation_ratio_baseline,triangulation_ratio_perturbed,triangulation_status_flipped
MART01_4232026_121500PM,MART01,daypart_steepened,221461.33333333334,226494.54545454547,2.2727272727272756,101666.66666666667,101666.66666666667,,0.4590718620556786,0.448870265121108,False
MART02_4232026_23000PM,MART02,daypart_steepened,100608.0,110040.00000000001,9.375000000000014,92500.0,92500.0,,0.9194099872773537,0.8406034169392947,False
KIR02_4232026_80000PM,KIR02,daypart_steepened,161609.14285714284,176760.00000000003,9.375000000000028,220000.0,220000.0,,1.3613091197103417,1.2446254808780266,False
KIR01_4232026_63000PM,KIR01,daypart_steepened,123325.71428571428,116659.45945945945,-5.405405405405403,119333.33333333334,119333.33333333334,,0.967627343774133,1.0229203348469404,False
PAN01_4232026_50000PM,PAN01,daypart_steepened,64450.285714285725,60966.486486486494,-5.405405405405409,76666.66666666667,76666.66666666667,,1.1895473513730774,1.2575214857372532,False
PAN02_4242026_93000AM,PAN02,daypart_steepened,32832.0,32832.0,0.0,40000.0,40000.0,,1.2183235867446394,1.2183235867446394,False
MART03_4242026_60000PM,MART03,daypart_steepened,264880.0,250562.1621621622,-5.4054054054053955,147833.33333333334,147833.33333333334,,0.5581143662539012,0.590006615754124,False
KIR03_4222026_30000PM,KIR03,daypart_steepened,213942.85714285713,234000.00000000006,9.375000000000034,206666.6666666667,206666.6666666667,,0.9659900284900287,0.883190883190883,False
PAN03_4222026_70000PM,PAN03,daypart_steepened,43003.42857142857,40678.91891891892,-5.405405405405405,55833.333333333336,55833.333333333336,,1.2983460897912902,1.372537294922221,False
MART04_4222026_100000AM,MART04,daypart_steepened,86847.99999999999,88821.81818181818,2.272727272727284,82833.33333333334,82833.33333333334,,0.9537736428395974,0.9325786729987173,False
MART01_4222026_60000PM,MART01,top_sku_share_0.50,232772.57142857145,232772.57142857145,,101666.66666666667,122000.0,19.999999999999996,0.4367639453511132,0.5241167344213358,False
MART01_4232026_121500PM,MART01,top_sku_share_0.50,221461.33333333334,221461.33333333334,,101666.66666666667,122000.0,19.999999999999996,0.4590718620556786,0.5508862344668144,False
MART02_4232026_23000PM,MART02,top_sku_share_0.50,100608.0,100608.0,,92500.0,111000.0,20.0,0.9194099872773537,1.1032919847328244,False
